,emoji,sentiment
0,😂,"AnalyzerOutput(output=POS, probas={POS: 0.956, NEU: 0.042, NEG: 0.002})"
1,🤣,"AnalyzerOutput(output=POS, probas={POS: 0.807, NEU: 0.189, NEG: 0.004})"
2,💜,"AnalyzerOutput(output=NEU, probas={NEU: 0.828, POS: 0.167, NEG: 0.006})"
3,👏,"AnalyzerOutput(output=POS, probas={POS: 0.573, NEU: 0.424, NEG: 0.003})"
4,👍,"AnalyzerOutput(output=POS, probas={POS: 0.517, NEU: 0.480, NEG: 0.003})"
5,😭,"AnalyzerOutput(output=NEG, probas={NEG: 0.694, NEU: 0.288, POS: 0.018})"
6,🤡,"AnalyzerOutput(output=NEU, probas={NEU: 0.788, NEG: 0.182, POS: 0.030})"
7,🙏,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.044, NEG: 0.012})"
8,🥺,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.051, NEG: 0.011})"
9,❤️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
10,🤔,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.068, NEG: 0.008})"
11,😍,"AnalyzerOutput(output=POS, probas={POS: 0.899, NEU: 0.099, NEG: 0.002})"
12,🙄,"AnalyzerOutput(output=NEU, probas={NEU: 0.596, NEG: 0.377, POS: 0.027})"
13,😉,"AnalyzerOutput(output=NEU, probas={NEU: 0.595, POS: 0.401, NEG: 0.004})"
14,💚,"AnalyzerOutput(output=NEU, probas={NEU: 0.854, POS: 0.140, NEG: 0.005})"
15,🤮,"AnalyzerOutput(output=NEG, probas={NEG: 0.886, NEU: 0.106, POS: 0.008})"
16,👇,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.033, NEG: 0.010})"
17,😊,"AnalyzerOutput(output=POS, probas={POS: 0.881, NEU: 0.118, NEG: 0.002})"
18,🔥,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.064, NEG: 0.025})"
19,😅,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.043, NEG: 0.008})"
20,😁,"AnalyzerOutput(output=POS, probas={POS: 0.854, NEU: 0.144, NEG: 0.002})"
21,🌎,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.043, NEG: 0.005})"
22,😡,"AnalyzerOutput(output=NEU, probas={NEU: 0.830, NEG: 0.137, POS: 0.033})"
23,🥰,"AnalyzerOutput(output=POS, probas={POS: 0.841, NEU: 0.157, NEG: 0.002})"
24,🌍,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.034, NEG: 0.005})"
25,💩,"AnalyzerOutput(output=NEG, probas={NEG: 0.746, NEU: 0.244, POS: 0.010})"
26,😆,"AnalyzerOutput(output=NEU, probas={NEU: 0.889, NEG: 0.072, POS: 0.039})"
27,🌳,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.053, NEG: 0.007})"
28,😘,"AnalyzerOutput(output=NEU, probas={NEU: 0.626, POS: 0.370, NEG: 0.003})"
29,✅,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.047, NEG: 0.006})"
30,💙,"AnalyzerOutput(output=NEU, probas={NEU: 0.871, POS: 0.123, NEG: 0.006})"
31,🌱,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.076, NEG: 0.008})"
32,🎉,"AnalyzerOutput(output=NEU, probas={NEU: 0.801, POS: 0.194, NEG: 0.004})"
33,👏🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.688, POS: 0.308, NEG: 0.003})"
34,🤬,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.038, NEG: 0.008})"
35,👉,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.052, NEG: 0.006})"
36,🤦‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
37,😢,"AnalyzerOutput(output=NEG, probas={NEG: 0.714, NEU: 0.265, POS: 0.021})"
38,😎,"AnalyzerOutput(output=POS, probas={POS: 0.686, NEU: 0.312, NEG: 0.002})"
39,😱,"AnalyzerOutput(output=NEG, probas={NEG: 0.514, NEU: 0.463, POS: 0.023})"
40,🇺🇸,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.047, NEG: 0.009})"
41,😳,"AnalyzerOutput(output=NEU, probas={NEU: 0.927, POS: 0.039, NEG: 0.034})"
42,🤗,"AnalyzerOutput(output=POS, probas={POS: 0.807, NEU: 0.192, NEG: 0.002})"
43,💪,"AnalyzerOutput(output=NEU, probas={NEU: 0.848, POS: 0.148, NEG: 0.004})"
44,😀,"AnalyzerOutput(output=NEU, probas={NEU: 0.749, POS: 0.246, NEG: 0.004})"
45,🥳,"AnalyzerOutput(output=NEU, probas={NEU: 0.895, POS: 0.098, NEG: 0.007})"
46,💕,"AnalyzerOutput(output=NEU, probas={NEU: 0.889, POS: 0.105, NEG: 0.006})"
47,🤪,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.051, NEG: 0.009})"
48,✨,"AnalyzerOutput(output=NEU, probas={NEU: 0.825, POS: 0.170, NEG: 0.006})"
49,👌,"AnalyzerOutput(output=NEU, probas={NEU: 0.881, POS: 0.114, NEG: 0.005})"
50,➡️,"AnalyzerOutput(output=NEU, probas={NEU: 0.921, POS: 0.070, NEG: 0.009})"
51,💔,"AnalyzerOutput(output=NEG, probas={NEG: 0.860, NEU: 0.130, POS: 0.009})"
52,🌏,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.045, NEG: 0.004})"
53,🙌,"AnalyzerOutput(output=NEU, probas={NEU: 0.882, POS: 0.111, NEG: 0.007})"
54,🌬️,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.053, NEG: 0.010})"
55,💯,"AnalyzerOutput(output=NEU, probas={NEU: 0.890, POS: 0.104, NEG: 0.005})"
56,🙂,"AnalyzerOutput(output=POS, probas={POS: 0.777, NEU: 0.221, NEG: 0.002})"
57,🌿,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.072, NEG: 0.010})"
58,😄,"AnalyzerOutput(output=POS, probas={POS: 0.668, NEU: 0.329, NEG: 0.002})"
59,🖕,"AnalyzerOutput(output=NEU, probas={NEU: 0.739, NEG: 0.235, POS: 0.026})"
60,🌹,"AnalyzerOutput(output=NEU, probas={NEU: 0.871, POS: 0.123, NEG: 0.006})"
61,🥦,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.064, NEG: 0.011})"
62,👏🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.682, POS: 0.315, NEG: 0.003})"
63,♥️,"AnalyzerOutput(output=NEU, probas={NEU: 0.876, POS: 0.117, NEG: 0.008})"
64,💖,"AnalyzerOutput(output=POS, probas={POS: 0.525, NEU: 0.471, NEG: 0.003})"
65,😔,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.041, NEG: 0.020})"
66,🤷‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
67,😜,"AnalyzerOutput(output=NEU, probas={NEU: 0.816, POS: 0.179, NEG: 0.004})"
68,🚀,"AnalyzerOutput(output=NEU, probas={NEU: 0.908, POS: 0.084, NEG: 0.008})"
69,🤦‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
